category,language,avg_rating,review_count
home,en,3.05,17484
home,es,2.98,26845
home,fr,2.99,28341
home,ja,3.03,18512
home,zh,3.0,8206
home_improvement,2026-06-01,2.6,102
home_improvement,de,3.02,12197
home_improvement,en,3.03,7033
home_improvement,es,3.04,10837
home_improvement,fr,3.04,12983
home_improvement,ja,2.92,6678
home_improvement,zh,2.87,3233
industrial_supplies,2026-06-01,2.5,12
industrial_supplies,de,3.02,1080
industrial_supplies,en,3.0,1975
industrial_supplies,es,3.08,1475
industrial_supplies,fr,3.06,1541
industrial_supplies,ja,2.92,2044
industrial_supplies,zh,3.29,14
jewelry,2026-06-01,3.0,16
jewelry,de,3.07,2361
jewelry,en,3.0,2728
jewelry,es,2.93,1591
jewelry,fr,2.97,2343
jewelry,ja,2.95,1132
jewelry,zh,2.93,1555
kitchen,2026-06-01,2.67,57
kitchen,de,3.04,5684
kitchen,en,3.07,10274
kitchen,es,3.02,6656
kitchen,fr,3.06,5898
kitchen,ja,3.41,13250
kitchen,zh,2.99,9158
lawn_and_garden,2026-06-01,2.41,51
lawn_and_garden,de,2.92,7342
lawn_and_garden,en,2.87,7246
lawn_and_garden,es,2.77,4214
lawn_and_garden,fr,2.85,5432
lawn_and_garden,ja,2.78,9
lawn_and_garden,zh,2.92,13
luggage,2026-06-01,3.18,22
luggage,de,3.24,3209
luggage,en,3.25,1311
luggage,es,3.29,3307
luggage,fr,3.23,2872
luggage,ja,2.91,11
luggage,zh,3.23,2981
musical_instruments,2026-06-01,2.83,12
musical_instruments,de,3.06,824
musical_instruments,en,3.09,1090
musical_instruments,es,3.23,1518
musical_instruments,fr,3.12,1195
musical_instruments,ja,2.91,1209
musical_instruments,zh,3.05,337
office_product,2026-06-01,2.26,66
office_product,de,3.09,4264
office_product,en,3.06,5433
office_product,es,3.09,4742
office_product,fr,3.06,4658
office_product,ja,3.11,4222
office_product,zh,2.97,2845
other,2026-06-01,2.75,88
other,de,3.15,6348
other,en,3.03,13259
other,es,3.08,3908
other,fr,3.19,4917
other,ja,2.96,5780
other,zh,2.89,7512
pc,2026-06-01,2.61,132
pc,de,2.96,8349
pc,en,2.91,6292
pc,es,3.06,11056
pc,fr,3.05,9549
pc,ja,2.88,14780
pc,zh,2.94,4811
personal_care_appliances,2026-06-01,2.47,17
personal_care_appliances,de,2.92,2784
personal_care_appliances,en,2.86,74
personal_care_appliances,es,3.02,3561
personal_care_appliances,fr,2.97,3189
personal_care_appliances,zh,2.86,247
pet_products,2026-06-01,3.1,40
pet_products,de,3.0,4948
pet_products,en,2.93,6991
pet_products,es,2.99,3694
pet_products,fr,2.96,5348
pet_products,ja,2.88,4811
pet_products,zh,3.13,238
shoes,2026-06-01,2.59,17
shoes,de,3.11,3547
shoes,en,3.09,5170
shoes,es,3.11,2745
shoes,fr,3.1,2103
shoes,ja,3.13,8852
shoes,zh,3.21,9857
sports,2026-06-01,2.79,103
sports,de,3.06,13512
sports,en,3.12,8184
sports,es,3.03,13124
sports,fr,3.0,8343
sports,ja,3.02,15666
sports,zh,3.04,6009
toy,2026-06-01,2.75,79
toy,de,3.0,9657
toy,en,2.97,8685
toy,es,3.04,13600
toy,fr,3.0,12427
toy,ja,2.91,8532
toy,zh,3.0,3661
video_games,2026-06-01,3.2,10
video_games,de,2.99,1201
video_games,en,2.79,766
video_games,es,3.13,1719
video_games,fr,2.98,1858
video_games,ja,2.66,2549
video_games,zh,2.94,94
watch,2026-06-01,2.59,17
watch,de,2.99,1674
watch,en,2.95,754
watch,es,3.0,1481
watch,fr,2.98,1458
watch,ja,2.96,1783
watch,zh,2.76,3128
wireless,2026-06-01,2.56,213
wireless,de,2.8,19585
wireless,en,2.73,15574
wireless,es,2.82,25713
wireless,fr,2.83,25953
wireless,ja,2.8,16211
wireless,zh,2.8,6420
